geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000073792,1,protein_coding,IGF2BP2,01,turquoise
ENSG00000073849,1,protein_coding,ST6GAL1,01,turquoise
ENSG00000075240,1,protein_coding,GRAMD4,01,turquoise
ENSG00000075618,1,protein_coding,FSCN1,01,turquoise
ENSG00000077150,1,protein_coding,NFKB2,01,turquoise
ENSG00000079308,1,protein_coding,TNS1,01,turquoise
ENSG00000081189,1,protein_coding,MEF2C,01,turquoise
ENSG00000082212,1,protein_coding,ME2,01,turquoise
ENSG00000085265,1,protein_coding,FCN1,01,turquoise
ENSG00000085831,1,protein_coding,TTC39A,01,turquoise
ENSG00000086288,1,protein_coding,NME8,01,turquoise
ENSG00000087087,1,protein_coding,SRRT,01,turquoise
ENSG00000087116,1,protein_coding,ADAMTS2,01,turquoise
ENSG00000087245,1,protein_coding,MMP2,01,turquoise
ENSG00000089159,1,protein_coding,PXN,01,turquoise
ENSG00000090339,1,protein_coding,ICAM1,01,turquoise
ENSG00000090520,1,protein_coding,DNAJB11,01,turquoise
ENSG00000090924,1,protein_coding,PLEKHG2,01,turquoise
ENSG00000091972,1,protein_coding,CD200,01,turquoise
ENSG00000099998,1,protein_coding,GGT5,01,turquoise
ENSG00000100034,1,protein_coding,PPM1F,01,turquoise
ENSG00000100055,1,protein_coding,CYTH4,01,turquoise
ENSG00000100079,1,protein_coding,LGALS2,01,turquoise
ENSG00000100350,1,protein_coding,FOXRED2,01,turquoise
ENSG00000100364,1,protein_coding,KIAA0930,01,turquoise
ENSG00000100373,1,protein_coding,UPK3A,01,turquoise
ENSG00000100479,1,protein_coding,POLE2,01,turquoise
ENSG00000100600,1,protein_coding,LGMN,01,turquoise
ENSG00000100644,1,protein_coding,HIF1A,01,turquoise
ENSG00000101150,1,protein_coding,TPD52L2,01,turquoise
ENSG00000101265,1,protein_coding,RASSF2,01,turquoise
ENSG00000101294,1,protein_coding,HM13,01,turquoise
ENSG00000102743,1,protein_coding,SLC25A15,01,turquoise
ENSG00000102879,1,protein_coding,CORO1A,01,turquoise
ENSG00000102921,0,protein_coding,N4BP1,00,grey
ENSG00000103042,1,protein_coding,SLC38A7,01,turquoise
ENSG00000103154,1,protein_coding,NECAB2,01,turquoise
ENSG00000103196,1,protein_coding,CRISPLD2,01,turquoise
ENSG00000103257,1,protein_coding,SLC7A5,01,turquoise
ENSG00000103522,1,protein_coding,IL21R,01,turquoise
ENSG00000104812,1,protein_coding,GYS1,01,turquoise
ENSG00000104856,1,protein_coding,RELB,01,turquoise
ENSG00000104921,1,protein_coding,FCER2,01,turquoise
ENSG00000104951,1,protein_coding,IL4I1,01,turquoise
ENSG00000105352,1,protein_coding,CEACAM4,01,turquoise
ENSG00000105369,1,protein_coding,CD79A,01,turquoise
ENSG00000105514,1,protein_coding,RAB3D,01,turquoise
ENSG00000105639,1,protein_coding,JAK3,01,turquoise
ENSG00000105656,1,protein_coding,ELL,01,turquoise
ENSG00000105889,1,protein_coding,STEAP1B,01,turquoise
